id	kritiker_etternavn	kritiker_fornavn	kritiker_kjonn	kritiker_pseudonym	kritiker_kommentar	kritikktype	publikasjon	utgivelsessted	aar	dato	aargang	nummer	bind	hefte	sidetall	utgivelseskommentar	tittel	spraak	kommentar	forfatter_etternavn	forfatter_fornavn	forfatter_kommentar	forfatter_kjonn	verk_tittel	verk_utgivelsessted	verk_dato	verk_sjanger	verk_spraak	verk_kommentar
17414			ukjent	-geir		dagskritikk	Fremtiden		1921	22. des										Uppdal	Kristofer		mann	Domkyrkjebyggjaren	Kristiania	1921	roman	nynorsk	arbeiderlitteratur
17415	Sudmann	Bernhard	mann			dagskritikk	Gula Tidend		1921	23. des								nynorsk		Uppdal	Kristofer		mann	Domkyrkjebyggjaren	Kristiania	1921	roman	nynorsk	arbeiderlitteratur
17416	Bjørge	Johan Halvor	mann	J.H.B.		dagskritikk	Nidaros		1921	24. des										Uppdal	Kristofer		mann	Domkyrkjebyggjaren	Kristiania	1921	roman	nynorsk	arbeiderlitteratur
17417	Ree	Ørnulf	mann			dagskritikk	Arbeider-Politikken		1921	31. des									sosialistisk kritikk	Uppdal	Kristofer		mann	Domkyrkjebyggjaren	Kristiania	1921	roman	nynorsk	arbeiderlitteratur
17418	Gandrup	Richard	mann			artikkel	Den 17de Mai		1922	16. feb									dansk forf. om Domkyrkjebyggjaren	Uppdal	Kristofer		mann	Domkyrkjebyggjaren	Kristiania	1921	roman	nynorsk	arbeiderlitteratur
17419	Midttun	Olav	mann			artikkel	Syn og Segn		1922						47-48			nynorsk		Uppdal	Kristofer		mann	Domkyrkjebyggjaren	Kristiania	1921	roman	nynorsk	arbeiderlitteratur
17420			ukjent	H.O.		dagskritikk	Glommen		1922	2. jan										Uppdal	Kristofer		mann	Dansen gjenom skuggeheimen	Kristiania	1911	roman	nynorsk	arbeiderlitteratur, ny utgave 1921
17421	Espedal	Jens Olavsen	mann			dikt	Unglyden		1922	12. jan					2		Kristofer Uppdal	nynorsk		Uppdal	Kristofer		mann						
17422			ukjent	P.F.		artikkel, debatt	Unglyden		1922	6. apr					4			nynorsk	diskusjon om bl.a. Uppdal er farlig for ungdom	Uppdal	Kristofer		mann						
17423			ukjent	-gh		artikkel	Gula Tidend		1922	15. nov								nynorsk		Uppdal	Kristofer		mann	Trolldom i lufta	Kristiania	1912	roman	nynorsk	arbeiderlitteratur, 2. utgave 1922
17424	Breidsvoll	Einar	mann	Br-l		dagskritikk	Den 17de Mai		1922	15. nov								nynorsk		Uppdal	Kristofer		mann	Trolldom i lufta	Kristiania	1912	roman	nynorsk	arbeiderlitteratur, 2. utgave 1922
17425			ukjent	A.H.		dagskritikk	Smaalenenes Amtstidende	Halden	1922	01. nov										Uppdal	Kristofer		mann	I skiftet	Kristiania	1922	roman	nynorsk	arbeiderlitteratur
17426	Debes	Inge	mann	I.D.		dagskritikk, debatt a	Nationen		1922	7. nov									svar i Nationen 9. og i Den 17de Mai 17. nov.	Uppdal	Kristofer		mann	I skiftet	Kristiania	1922	roman	nynorsk	arbeiderlitteratur
17427	Bjørge	Johan Halvor	mann	J.H.B.		dagskritikk	Nidaros		1922	8. nov										Uppdal	Kristofer		mann	I skiftet	Kristiania	1922	roman	nynorsk	arbeiderlitteratur
17428			ukjent	J.S.		dagskritikk	Nationalbladet		1922	8. nov										Uppdal	Kristofer		mann	I skiftet	Kristiania	1922	roman	nynorsk	arbeiderlitteratur
17429			ukjent	Fritz		dagskritikk	Nordlands Framtid		1922	8. nov										Uppdal	Kristofer		mann	I skiftet	Kristiania	1922	roman	nynorsk	arbeiderlitteratur
17430	Hoprekstad	Olav	mann	O.H.		dagskritikk	Bergens Tidende		1922	8. nov								nynorsk		Uppdal	Kristofer		mann	I skiftet	Kristiania	1922	roman	nynorsk	arbeiderlitteratur
17431	anonym		ukjent			artikkel, debatt b	Nationen		1922	9. nov									svar på dagskritikk av I. Debes 7. nov.	Uppdal	Kristofer		mann	I skiftet	Kristiania	1922	roman	nynorsk	arbeiderlitteratur
