opes_id	ser_vol	editor	year	pg_no	photo	sb	corrections	preferred_citation	ddbdp_pmichcitation	ddbdp_omichcitation	ddbdp_p_rep	ddbdp_o_rep
94	SO 40	Eliassen M de Kat	1965	46-47		SB VIII 9924c		Eliassen M de Kat, SO 40, 46-47, 1965 -- SB VIII 9924c	SB:8:9924c			"
95	SO 40	Eliassen M de Kat	1965	47-48		SB VIII 9925		Eliassen M de Kat, SO 40, 47-48, 1965 -- SB VIII 9925	SB:8:9925			"
96	SO 50	Eliassen M de Kat	1975	75-77		SB XIV 11435	Bogaert R, ZPE 68 (1987) p. 69 (alternative date: July 31, 160 B.C. )	Eliassen M de Kat, SO 50, 75-77, 1975 -- SB XIV 11435 -- Bogaert R, ZPE 68 (1987) p. 69 (alternative date: July 31, 160 B.C. )	SB:14:11435			"
97	Proc. XVIth Intern.Congr.Pap.	Eliassen M de Kat	1981	329-333	p. 333	SB XVI 12508	Richter M, ZPE 86 (1991) p. 252 (date)Kruse T, Der königliche Schreiber und die Gauverwaltung, 2002, note 1785 (l. 8)	Eliassen M de Kat, Proc. XVIth Intern.Congr.Pap., 329-333, 1981, p. 333 -- SB XVI 12508 -- Richter M, ZPE 86 (1991) p. 252 (date)Kruse T, Der königliche Schreiber und die Gauverwaltung, 2002, note 1785 (l. 8)	SB:16:12508			"
98	SO 50	Eliassen M de Kat	1975	77-81		SB XIV 11436		Eliassen M de Kat, SO 50, 77-81, 1975 -- SB XIV 11436	SB:14:11436			"
99	SO 38	Schreiner JH	1963	38-42		SB VIII 9922	Bingen J, Chr. d'Ég. 38 (1963) p. 323 (l.13)	Schreiner JH, SO 38, 38-42, 1963 -- SB VIII 9922 -- Bingen J, Chr. d'Ég. 38 (1963) p. 323 (l.13)	SB:8:9922			"
100	SO 38	Schreiner JH	1963	42-46		SB VIII 9923	Sijpesteijn PJ, SO 41 (1966) p. 83-85	Schreiner JH, SO 38, 42-46, 1963 -- SB VIII 9923 -- Sijpesteijn PJ, SO 41 (1966) p. 83-85	SB:8:9923			"
101	SO 44	Schreiner JH	1969	148-151		SB X 10723		Schreiner JH, SO 44, 148-151, 1969 -- SB X 10723	SB:10:10723			"
102	SO 44	Schreiner JH	1969	146-148		SB X 10722		Schreiner JH, SO 44, 146-148, 1969 -- SB X 10722	SB:10:10722			"
103	SO 58	Forselv IL	1983	126-128		SB XVI 12988		Forselv IL, SO 58, 126-128, 1983 -- SB XVI 12988	SB:16:12988			"
104	ZPE 149	Maravela-Solbakk A	2004	182-185	p.183			Maravela-Solbakk A, ZPE 149, 182-185, 2004, p.183				"
105	SO 73	Forselv IL	1998	116-124	p.121	SB XXIV 16186	Reiter F, APF 48 (2002) p. 128-131; Bergamasco M, Studi di egittologia e di papirologia 1 (2004) p. 31-35	Forselv IL, SO 73, 116-124, 1998, p.121 -- SB XXIV 16186 -- Reiter F, APF 48 (2002) p. 128-131; Bergamasco M, Studi di egittologia e di papirologia 1 (2004) p. 31-35	SB:24:16186			"
106	SO 58	Forselv IL	1983	123-126		SB XVI 12987		Forselv IL, SO 58, 123-126, 1983 -- SB XVI 12987	SB:16:12987			"
107	SO 36	Traversa A	1960	49-64		SB VI 9628		Traversa A, SO 36, 49-64, 1960 -- SB VI 9628	SB:6:9628			"
108	SO 57	Clarysse W-Quaegebeur J	1982	75-81		SB XVI 12552		Clarysse W-Quaegebeur J, SO 57, 75-81, 1982 -- SB XVI 12552	SB:16:12552			"
109	P.Oslo III	Amundsen L-Eitrem S	1936	123			Amundsen L-Eitrem S, P.Oslo III, p. 279 (l.10)Zucker F, Festschrift Oertel (1964) p. 105 (l.22)Vidman L, Misc.Pap. (1990) p. 528 (l.5)	Amundsen L-Eitrem S, P.Oslo III, 123, 1936 -- Amundsen L-Eitrem S, P.Oslo III, p. 279 (l.10)Zucker F, Festschrift Oertel (1964) p. 105 (l.22)Vidman L, Misc.Pap. (1990) p. 528 (l.5)	p.oslo;3;123			"
110	SO 79	Maravela-Solbakk A	2004	102-108	p. 105			Maravela-Solbakk A, SO 79, 102-108, 2004, p. 105				"
111	ZPE 149	Maravela-Solbakk A	2004	186-188	p. 187			Maravela-Solbakk A, ZPE 149, 186-188, 2004, p. 187				"
112	ZPE 149	Maravela-Solbakk A	2004	177-182	p. 179			Maravela-Solbakk A, ZPE 149, 177-182, 2004, p. 179				"
113	P.Oslo III	Eitrem S-Amundsen L	1936	138				Eitrem S-Amundsen L, P.Oslo III, 138, 1936	p.oslo;3;138			"
