opes_id	ser_vol	editor	year	pg_no	photo	sb	corrections	preferred_citation	ddbdp_pmichcitation	ddbdp_omichcitation	ddbdp_p_rep	ddbdp_o_rep
174	P.Oslo III	Eitrem S-Amundsen L 	1936	153				Eitrem S-Amundsen L , P.Oslo III, 153, 1936	p.oslo;3;153			"
175	P.Oslo III	Eitrem S-Amundsen L 	1936	155	Pl. XI		Wilcken U, APF 12 (1937) p. 228 (l.4)Crönert W, P.Oslo III (1936) p. 280 (l.6)Olson B, Deutsche Literaturzeitung 59 (1938) p. 518 (l.6)Schmidt KFW, Phil.Woch. 58 (1938) p. 303 (l.6, 21)Crönert W, P.Oslo III (1936) p. 303 (l.25-26)	Eitrem S-Amundsen L , P.Oslo III, 155, 1936, Pl. XI -- Wilcken U, APF 12 (1937) p. 228 (l.4)Crönert W, P.Oslo III (1936) p. 280 (l.6)Olson B, Deutsche Literaturzeitung 59 (1938) p. 518 (l.6)Schmidt KFW, Phil.Woch. 58 (1938) p. 303 (l.6, 21)Crönert W, P.Oslo III (1936) p. 303 (l.25-26)	p.oslo;3;155			"
176	P.Oslo III	Eitrem S-Amundsen L 	1936	94				Eitrem S-Amundsen L , P.Oslo III, 94, 1936	p.oslo;3;94			"
177	P.Oslo III	Eitrem S-Amundsen L 	1936	105				Eitrem S-Amundsen L , P.Oslo III, 105, 1936	p.oslo;3;105			"
178	P.Oslo II	Eitrem S-Amundsen L 	1931	13	Pl. II		Schmidt KFW, Gött.gel.Anz.94 (1932) p.279-280Di Benedetto V, Dionisio Trace I, p.189-190 and II p.88-99Morelli G, 'Dionisio Trace in  un papiro grammaticale del II secolo' in: Ricerche sulla tradizione grammaticale latina. Roma 1970, p. 112-130	Eitrem S-Amundsen L , P.Oslo II, 13, 1931, Pl. II -- Schmidt KFW, Gött.gel.Anz.94 (1932) p.279-280Di Benedetto V, Dionisio Trace I, p.189-190 and II p.88-99Morelli G, 'Dionisio Trace in  un papiro grammaticale del II secolo' in: Ricerche sulla tradizione grammaticale latina. Roma 1970, p. 112-130	p.oslo;2;13			"
179	P.Oslo II	Eitrem S-Amundsen L 	1931	12				Eitrem S-Amundsen L , P.Oslo II, 12, 1931	p.oslo;2;12			"
180	Eranos 54	Eitrem S-Amundsen L 	1956	101-108			Packman ZM, BASP 10 (1973) p. 31-41	Eitrem S-Amundsen L , Eranos 54, 101-108, 1956 -- Packman ZM, BASP 10 (1973) p. 31-41				"
181	P.Oslo III	Eitrem S-Amundsen L 	136	65				Eitrem S-Amundsen L , P.Oslo III, 65, 136				"
182	P.Oslo III	Eitrem S-Amundsen L 	1936	70				Eitrem S-Amundsen L , P.Oslo III, 70, 1936				"
183	Studi Calderini-Paribeni II	Eitrem S-Amundsen L 	1957	147-150				Eitrem S-Amundsen L , Studi Calderini-Paribeni II, 147-150, 1957				"
184	P.Oslo II	Eitrem S-Amundsen L 	1931	26			P.Hamb.IV (1998), p. 234 n.68 (l. 6, 33)	Eitrem S-Amundsen L , P.Oslo II, 26, 1931 -- P.Hamb.IV (1998), p. 234 n.68 (l. 6, 33)	p.oslo;2;26			"
185	P.Oslo III	Eitrem S-Amundsen L 	1936	191			Balconi C, Aeg. 56 (1976), s. 221, note 1 (date)P.Oxy. 59 (1992), 4002, n. to 12-13 (l.2) 	Eitrem S-Amundsen L , P.Oslo III, 191, 1936 -- Balconi C, Aeg. 56 (1976), s. 221, note 1 (date)P.Oxy. 59 (1992), 4002, n. to 12-13 (l.2) 	p.oslo;3;191			"
186	P.Oslo II	Eitrem S-Amundsen L 	1931	37				Eitrem S-Amundsen L , P.Oslo II, 37, 1931	p.oslo;2;37			"
187	Greek medical papyri II	Maravela-Solbakk A	2009	6				Maravela-Solbakk A, Greek medical papyri II, 6, 2009				"
188	Greek medical papyri II	Maravela-Solbakk A	2009	7	Plate VIII			Maravela-Solbakk A, Greek medical papyri II, 7, 2009, Plate VIII				"
189	Greek medical papyri II	Maravela-Solbakk A	2009	7	Plate VIII			Maravela-Solbakk A, Greek medical papyri II, 7, 2009, Plate VIII				"
190	P.Oslo III	Eitrem S-Amundsen L	1936	173				Eitrem S-Amundsen L, P.Oslo III, 173, 1936				"
191	P.Oslo III	Eitrem S-Amundsen L	1936	175				Eitrem S-Amundsen L, P.Oslo III, 175, 1936				"
192	P.Oslo III	Eitrem S-Amundsen L	1936	176				Eitrem S-Amundsen L, P.Oslo III, 176, 1936				"
193	P.Oslo III	Eitrem S-Amundsen L	1936	157	Plate XIIc			Eitrem S-Amundsen L, P.Oslo III, 157, 1936, Plate XIIc	p.oslo;3;157			"
194	P.Oslo III	Eitrem S-Amundsen L	1936	166				Eitrem S-Amundsen L, P.Oslo III, 166, 1936				"
195	P.Oslo III	Eitrem S-Amundsen L	1936	169				Eitrem S-Amundsen L, P.Oslo III, 169, 1936				"
196	P.Oslo III	Eitrem S-Amundsen L	1936	171				Eitrem S-Amundsen L, P.Oslo III, 171, 1936				"
197	P.Oslo II	Eitrem S-Amundsen L	1931	39			P.Oslo III, 132,8 (l.11);Kühnert H, Zum Kreditgeschäft (1968?) p. 92 (l. 22)Warga RG, BASP 24 (1987) p. 110 (l. 10-11), incl.photo	Eitrem S-Amundsen L, P.Oslo II, 39, 1931 -- P.Oslo III, 132,8 (l.11);Kühnert H, Zum Kreditgeschäft (1968?) p. 92 (l. 22)Warga RG, BASP 24 (1987) p. 110 (l. 10-11), incl.photo	p.oslo;2;39			"
198	P.Oslo III	Eitrem S-Amundsen L	1936	178				Eitrem S-Amundsen L, P.Oslo III, 178, 1936	p.oslo;3;178			"
199	P.Oslo III	Eitrem S-Amundsen L	1936	180				Eitrem S-Amundsen L, P.Oslo III, 180, 1936	p.oslo;3;180			"
200	SO 37	Traversa A	1961	105-107		SB VIII 9825	Daris S, Aeg.42 (1962) 319 (l. 6)Hickey TM, Papyrologica Lugduno-Batava 33 (2008) p. 348-350 (date)	Traversa A, SO 37, 105-107, 1961 -- SB VIII 9825 -- Daris S, Aeg.42 (1962) 319 (l. 6)Hickey TM, Papyrologica Lugduno-Batava 33 (2008) p. 348-350 (date)	SB:8:9825			"
201	P.Oslo III	Eitrem S-Amundsen L	1936	163				Eitrem S-Amundsen L, P.Oslo III, 163, 1936				"
202	P.Oslo III	Eitrem S-Amundsen L	1936	164				Eitrem S-Amundsen L, P.Oslo III, 164, 1936				"
203	P.Oslo III	Eitrem S-Amundsen L	1936	165				Eitrem S-Amundsen L, P.Oslo III, 165, 1936				"
204	P.Oslo III	Eitrem S-Amundsen L	1936	72			Schmidt KFW, Philologische Wochenschrift 58 (1938), p. 299 (l. 8f, 11f, 13)	Eitrem S-Amundsen L, P.Oslo III, 72, 1936 -- Schmidt KFW, Philologische Wochenschrift 58 (1938), p. 299 (l. 8f, 11f, 13)	p.oslo;3;72			"
205	P.Oslo III	Eitrem S-Amundsen L	1936	88			Schmidt KFW, Philologische Wochenschrift 58 (1938) p. 300 (l. 13, 25f.)West LC-Johnson AC, Currency in Roman and Byzantine Egypt , 1944, p.159 (l.19)Amundsen L, P. Panop. Beatty, p.128, note to l. 379 (l. 17)Bagnall RS-Sijpestein J, ZPE 24 (1977) p. 123 (Date)BL 12, p. 132 (place)Drew-Bear M, Le nome Hermopolite, 1979, p 58 (l.13)P.Oxy. 48, 3423, note to l.19-20 (l 25)P.Oxy. 48, p. 76 (l. 38)	Eitrem S-Amundsen L, P.Oslo III, 88, 1936 -- Schmidt KFW, Philologische Wochenschrift 58 (1938) p. 300 (l. 13, 25f.)West LC-Johnson AC, Currency in Roman and Byzantine Egypt , 1944, p.159 (l.19)Amundsen L, P. Panop. Beatty, p.128, note to l. 379 (l. 17)Bagnall RS-Sijpestein J, ZPE 24 (1977) p. 123 (Date)BL 12, p. 132 (place)Drew-Bear M, Le nome Hermopolite, 1979, p 58 (l.13)P.Oxy. 48, 3423, note to l.19-20 (l 25)P.Oxy. 48, p. 76 (l. 38)	p.oslo;3;88			"
206	P.Oslo III	Eitrem S-Amundsen L	1936	119	Pl. IX		Youtie HC, ZPE 38 (1980) p. 291 (l.3)	Eitrem S-Amundsen L, P.Oslo III, 119, 1936, Pl. IX -- Youtie HC, ZPE 38 (1980) p. 291 (l.3)	p.oslo;3;119			"
207	P.Oslo II	Eitrem S-Amundsen L	1931	44			P.Oxy. 55, 3790, l. 7 (l.1)	Eitrem S-Amundsen L, P.Oslo II, 44, 1931 -- P.Oxy. 55, 3790, l. 7 (l.1)	p.oslo;2;44			"
208	JEA 17	Eitrem S	1931	44-47	Pl.VI	SB V 7555		Eitrem S, JEA 17, 44-47, 1931, Pl.VI -- SB V 7555	SB:5:7555			"
209	P.Oslo III	Eitrem S-Amundsen L	1936	129				Eitrem S-Amundsen L, P.Oslo III, 129, 1936	p.oslo;3;129			"
210	P.Oslo III 	Eitrem S-Amundsen L	1936	85				Eitrem S-Amundsen L, P.Oslo III , 85, 1936				"
211	P.Oslo III	Eitrem S-Amudsen L	1936	135				Eitrem S-Amudsen L, P.Oslo III, 135, 1936	p.oslo;3;135			"
212	P.Oslo III	Eitrem S-Amundsen L	1936	110				Eitrem S-Amundsen L, P.Oslo III, 110, 1936	p.oslo;3;110			"
213	P.Oslo III	Eitrem S-Amundsen L	1936	121				Eitrem S-Amundsen L, P.Oslo III, 121, 1936	p.oslo;3;121			"
214	P.Oslo III	Eitrem S-Amundsen L	1936	179				Eitrem S-Amundsen L, P.Oslo III, 179, 1936	p.oslo;3;179			"
215	P.Oslo III	Eitrem S-Amundsen L	1936	126				Eitrem S-Amundsen L, P.Oslo III, 126, 1936	p.oslo;3;126			"
216	P.Oslo III	Eitrem S-Amudsen L	1936	193				Eitrem S-Amudsen L, P.Oslo III, 193, 1936	p.oslo;3;193			"
217	P.Oslo III	Eitrem S-Amundsen L	1936	195				Eitrem S-Amundsen L, P.Oslo III, 195, 1936	p.oslo;3;195			"
218	P.Oslo III	Eitrem S-Amundsen L	1936	190				Eitrem S-Amundsen L, P.Oslo III, 190, 1936	p.oslo;3;190			"
219	P.Oslo II	Eitrem S-Amundsen L	1931	11				Eitrem S-Amundsen L, P.Oslo II, 11, 1931	p.oslo;2;11			"
220	P.Oslo II	Eitrem S-Amundsen L	1931	13	P.Oslo II Plates (Plate II)			Eitrem S-Amundsen L, P.Oslo II, 13, 1931, P.Oslo II Plates (Plate II)	p.oslo;2;13			"
221	P.Oslo II	Eitrem S-Amundsen L	1931	14	P.Oslo II Plates (Plate I)			Eitrem S-Amundsen L, P.Oslo II, 14, 1931, P.Oslo II Plates (Plate I)	p.oslo;2;14			"
222	P.Oslo II	Eitrem S-Amundsen L	1931	16	P.Oslo II Plates (Plate I)			Eitrem S-Amundsen L, P.Oslo II, 16, 1931, P.Oslo II Plates (Plate I)	p.oslo;2;16			"
223	P.Oslo II	Eotrem S-Amundsen L	1931	27				Eotrem S-Amundsen L, P.Oslo II, 27, 1931	p.oslo;2;27			"
224	P.Oslo II	Eitrem S-Amundsen L	1931	45				Eitrem S-Amundsen L, P.Oslo II, 45, 1931	p.oslo;2;45			"
225	P.Oslo II	Eitrem S-Amundsen L	1931	46				Eitrem S-Amundsen L, P.Oslo II, 46, 1931	p.oslo;2;46			"
226	P.Oslo II	Eitrem S-Amundsen L	1931	46				Eitrem S-Amundsen L, P.Oslo II, 46, 1931	p.oslo;2;46			"
227	P.Oslo III	Eitrem S-Amundsen L	1936	196				Eitrem S-Amundsen L, P.Oslo III, 196, 1936	p.oslo;3;196			"
228	P.Oslo III	Eitrem S-Amundsen L	1936	93				Eitrem S-Amundsen L, P.Oslo III, 93, 1936	p.oslo;3;93			"
229	P.Oslo III	Eitrem S-Amudsen L	1936	136				Eitrem S-Amudsen L, P.Oslo III, 136, 1936	p.oslo;3;136			"
230	P.Oslo III	Eitrem S-Amundsen L	1936	139				Eitrem S-Amundsen L, P.Oslo III, 139, 1936	p.oslo;3;139			"
231	P.Oslo III	Eitrem S-Amundsen L	1936	154				Eitrem S-Amundsen L, P.Oslo III, 154, 1936	p.oslo;3;154			"
232	P.Oslo III	Eitrem S-Amundsen L	1936	127				Eitrem S-Amundsen L, P.Oslo III, 127, 1936	p.oslo;3;127			"
233	P.Oslo III	Eitrem S-Amundsen L	1936	107				Eitrem S-Amundsen L, P.Oslo III, 107, 1936	p.oslo;3;107			"
234	P.Olso III	Eitrem S-Amundsen L	1936	109				Eitrem S-Amundsen L, P.Olso III, 109, 1936	p.oslo;3;109			"
235	P.Oslo III	Eitrem S-Amundsen L	1936	75				Eitrem S-Amundsen L, P.Oslo III, 75, 1936	p.oslo;3;75			"
236	P.Oslo III	Eitrem S-Amundsen L	1936	82				Eitrem S-Amundsen L, P.Oslo III, 82, 1936	p.oslo;3;82			"
237	P.Oslo III	Eitrem S-Amundsen L	1936	150				Eitrem S-Amundsen L, P.Oslo III, 150, 1936	p.oslo;3;150			"
