forfatter	tittel	tidsskrift	antologi	angitti	utgivelsessted	nummer	utgivelsesaar	forlag	emne	type	dato	utgiver	ansvarsangivelse	eissn	issn	isbn	eisbn	boktittel	nettsted	spraak	url	sidetall	digitalisering
Gervin, Anita Eger	Om spanskundervisning i Norge	Språk og språkundervisning				2				Artikel	1992	Landslaget Moderne språk			0038-8521					Spansk			
Grønvold, Magnus	Lærebok i spansk for begynnere									Bok	1932	Gyldendal Norsk forlag								Spansk		309	https://www.nb.no/items/332a2011779e45129164e3448b0d88e9?page=6
