"id","name","entity_type","noraf_id"
814,"Bjordal, Sine Halkjelsvik","person",
815,"Jondahl, Ida Jansen","person",
816,"Lund-Johansen, Helene","person",
817,"Overli, Jahn Erling Meggelae","person",
818,"Bengtson, Ingrid Kathinka Kvanmo","person",
819,"Lovdal, Eivind","person",
820,"Austad, Ingolv","person",
821,"Slagstad, Rune","person",
822,"Kalleberg, Ragnvald","person",
823,"Berthelsen, Sune","person",
824,"Kverndokken, Kare","person",
825,"Bakke, Jannike Ohrem","person",
826,"Moe, Mette","person",
827,"Fougner, Harald","person",
828,"Ibenholt, Einar","person",
829,"Hoisaeter, Sissel","person",
830,"Thon, Jahn Holljen","person",
831,"Dingstad, Stale","person",
832,"Rorvik, Thor Inge","person",
833,"Hverven, Tom Egil","person",
834,"Jegerstedt, Kari","person",
835,"Nilsen, Anne Birgitta","person",
836,"Bull, Catrine Andenaes","person",
837,"Lindholm, Magne","person",
838,"Kalleberg, Kirsten","person",
839,"Kleiveland, Astrid Elisabeth","person",
840,"Sejersted, Jorgen Magnus","person",
842,"Roe, Astrid","person",
843,"Hernes, Gudmund","person",
844,"Naess, Helene","person",
897,"Hallsten, Stina","person",
846,"Sjoberg, Svein","person",
847,"Rettberg, Jill Walker","person",
848,"Storaas, Frode","person",
849,"Vassenden, Eirik","person",
850,"Stueland, Espen","person",
851,"Tvedt, Terje","person",
852,"Abrahamsen, Mirjam","person",
853,"Furunes, Ronny Sodahl","person",
854,"Dysthe, Olga","person",
855,"Golden, Anne","person",
856,"Handgaard, Brynjulf","person",
857,"Kjaer, Nils","person",
858,"Aanrud, Hans","person",
859,"Christensen, Hjalmar","person",
860,"Ronhovd, Jarle","person",
861,"Flekke, Bernt Ove","person",
862,"Meyer, Sidsel","person",
863,"Keyser Pedersen, Henrik","person",
864,"Aarstein, Ingvald","person",
865,"Oxfeldt, Elisabeth","person",
866,"Ryen, Else","person",
867,"Brodersen, Randi Benedikte","person",
868,"Braten, Fredrik","person",
869,"Reiersgaard, Anders","person",
870,"Slethei, Kolbjorn","person",
871,"Agotnes, Knut","person",
872,"Lorentzen, Svein","person",
873,"Skyum-Nielsen, Peder","person",
874,"Schumacher, Jan","person",
875,"Bjorgo, Tore","person",
902,"Lokken, Hege Berg","person",
877,"Jensen, Ingebrikt Steen","person",
879,"Haland, Anne","person",
880,"Karlsen, Lisbet","person",
881,"Blom, Ina","person",
882,"Skovholt, Karianne","person",
883,"Svennevig, Jan","person",
884,"Wiggen, Geirr","person",
885,"Rustad, Hanne","person",
886,"Wikberg, Kay","person",
887,"Frandsen, Finn","person",
903,"From, Julie Hille","person",
889,"Kankaanpaa, Salli","person",
890,"Skogseth, Egil G.","person",
891,"Folkvord, Ingvild","person",
892,"Nilssen, Trond Risto","person",
893,"Lenz, Claudia","person",
894,"Torp, Arne","person",
895,"Hovde, Kjell-Olav","person",
896,"Bang, Tor","person",
908,"Lov","person",
909,"Andersen, F.","person",
910,"Bjerstedt, Ake","person",
911,"Pettersen, Reidar","person",
912,"Gaserud, Anders","person",
913,"Simonsen, Tore","person",
914,"Brynhi, Kristin","person",
915,"Stene, Morten","person",
916,"Berild, Sveinung","person",
917,"Morstad, Erik","person",
918,"Bo, Olav","person",
919,"Morild, Inge","person",
920,"Hvistendal, Rita","person",
921,"Blikstad-Balas, Marte","person",
922,"Holmoyvik, Eirik","person",
923,"Scmid, Ulrich","person",
924,"Schmid, Ulrich","person",
925,"Visconti, Jacqueline","person",
926,"Sand, Inger-Johanne","person",
927,"Bruteig, Yordanka","person",
928,"Ringvej, Mona","person",
929,"Gylseth, Christopher Hals","person",
930,"Fidjestol, Alfred","person",
931,"Lahlum, Hans Olav","person",
932,"Svensen, Henrik","person",
933,"Wulfsberg, Marius","person",
934,"Gram, Trond","person",
935,"Habbestad, Ida","person",
936,"Norheim, Marta","person",
937,"Bjerke, Oivind Storm","person",
938,"Bratberg, Oivind","person",
939,"Krefting, Ellen","person",
940,"Ringvej, Mona Renate","person",
941,"Pettersen, Sverre","person",
942,"Emmerhoff, Cecilie","person",
943,"Olnova, Margarita","person",
944,"Bjordal, Tonje N.","person",
945,"Tretvoll, Marte Finess","person",
946,"Nateland, Siv Janne","person",
947,"Andersen, Agnete Jorstad","person",
948,"Bjorgengen, Anni","person",
949,"Stang, Frode Granum","person",
950,"Gjessing, Mona","person",
951,"Harper, Morten","person",
952,"Gulbrandsen, Veronica Colleen Myhre","person",
953,"Skjelderup, Ida","person",
954,"Roos, Merethe","person",
955,"Bjolgerud, Kaja","person",
956,"Espeland, Tonje J.","person",
957,"Foss, Eirik Granly","person",
958,"Claudi, Mads B.","person",
959,"Rognan, Andrea Othilie","person",
960,"Drougge Halstensgaard, Cecilie","person",
961,"Hansen, Jessica Pedersen Belisle","person",
962,"Universitetet i Oslo - Institutt for lingvistiske og nordiske studier","institution",
963,"Universitetet i Oslo - Det humanistiske fakultet","institution",
964,"Jorgensen, Iben Brinch","person",
965,"Andersson-Bakken, Emilia","person",
966,"Claudi, Mads Breckan","person",
967,"Andersen, Ida","person",
968,"Pedersen, Stine Bang","person",
969,"Olsen, Marthe Odegard","person",
970,"Stjern, Simon","person",
971,"Hjelmbrekke, Nora","person",
972,"Berg Edvardsen, Oda","person",
973,"Jansen Wiig, Nina","person",
974,"Ogreid, Anne Kristine","person",
975,"Blomqvist, Per","person",
976,"Lindberg, Viveca","person",
977,"Skar, Gustaf B.","person",
978,"Norendal, Audhild","person",
979,"Mosvold, Reidar","person",
980,"Hanssen, Brit","person",
981,"Fauskanger, Janne","person",
982,"Eide, Helene Marie Kjaerrgard","person",
983,"Tolo, Astrid","person",
984,"Gjesdal, Anje Muller","person",
985,"Skalle, Camilla Erichsen","person",
986,"Eide, Liv","person",
987,"Gujord, Ann-Kristin Helland","person",
988,"Eriksen, Harald","person",
989,"Elvebakk, Lisbeth","person",
990,"Josok, Evy","person",
991,"Iversen, Magnus Hoem","person",
992,"Larsen, Hakon","person",
993,"Krogstad, Anne","person",
994,"Nergaard, Siri","person",
995,"Colbjornsen, Terje","person",
1000,"Eide, Elisabeth","person",
997,"Hauge, Kjellrun Hiis","person",
998,"Johnsen-Hoines, Marit","person",
999,"Rangnes, Toril Eskeland","person",
1001,"Birkeland, Nils Rune","person",
1002,"Kvale, Gunhild","person",
1003,"Rambo, Gro-Renee","person",
1004,"Flaten, Tom","person",
1005,"Vollan, Magnhild","person",
1006,"Breivega, Kjersti Maria Rongen","person",
1007,"Oines, Anne Marie","person",
1008,"Nielsen, Ane Nordsteien","person",
1009,"Universitetet i Oslo - Institutt for litteratur, omradestudier og europeiske sprak","institution",
1010,"Blasjo, Mona","person",
1011,"Borgstrom, Eric","person",
1012,"Ruby, Anders","person",
1013,"Hansen, Brian Benjamin","person",
1014,"Hoog, Catharina Nystrom","person",
1015,"Palicki, Lena Lind","person",
1016,"Wengelin, Asa","person",
1017,"Bendegard, Saga","person",
1018,"Nystrom Hoog, Catharina","person",
1019,"Westberg, Gustav","person",
1020,"Alva","person",
1021,"Dahl, Alva","person",
1022,"Johansson, Sofia","person",
1023,"Jonsson, Carla","person",
1024,"Bundsgaard, Jeppe","person",
1025,"Ulbaek, Ib","person",
1026,"Platz Cortsen, Rikke","person",
1027,"Matthiesen, Christina","person",
1028,"Ovesen, Jonathan","person",
1029,"Karlsson, Anna-Malin","person",
1030,"Landqvist, Mats","person",
1031,"Rahm, Henrik","person",
1032,"Skarlund, Sanna","person",
1033,"Svensson, Peter","person",
1034,"Vogel, Anna","person",
1035,"Sandell, Niklas","person",
1036,"Bjorkdahl, Kristian","person",
1037,"Reinertsen, Hilde","person",
1038,"McNeill, Desmond","person",
1039,"Tellmann, Silje Maria","person",
1040,"Hermansen, Erlend A. T.","person",
1041,"Sundqvist, Goran","person",
1042,"Yearley, Steven","person",
1043,"St. Clair, Asuncion Lera","person",
1044,"Gasper, Des","person",
1045,"Painter, James","person",
1046,"Madsen, Ole Jacob","person",
1047,"Skulstad, Aud Solbjorg","person",
1048,"Czarniawska, Barbara","person",
1049,"Neby, Simon","person",
1050,"Kjaer, Malene","person",
1051,"Byrman, Gunilla","person",
1052,"Strom, Peter","person",
1053,"Andersen, Morken Merete","person",
1054,"Aslund, Arnfinn","person",
1055,"Flogstad, Guro N.","person",
1056,"Andersen, Merete M.","person",
1057,"Haugestad, Anne Kristine","person",
1058,"Helskog, Guro H.","person",
1059,"Holberg, Monica","person",
1060,"Bojsen-Moller, Marie","person",
1061,"Auken, Sune","person",
1062,"Devitt, Amy J.","person",
1063,"Bojsen Moller, Marie","person",
1064,"Christensen, Tanya Karoli","person",
1065,"Uvslokk, Geir","person",
1066,"Palshaugen, Oyvind","person",
