"id","name","entity_type","noraf_id"
184,"Repstad, Pal","person",
185,"Sorum, Arve","person",
186,"Bech-Karlsen, Jo","person",
187,"Skjonsberg, Harald","person",
188,"Sorbo, Jan Inge","person",
189,"Sandnes, Svein","person",
190,"Overland, Janneken","person",
191,"Bjornsen, Bjorn","person",
192,"Hompland, Andreas","person",
193,"Tusvik, Sverre","person",
194,"Clemet, Kristin","person",
195,"Goga, Nina","person",
196,"Gaukstad, Haakon Christian","person",
197,"Lippe, Berit von der","person",
198,"Skarderud, Finn","person",
199,"Svenneby, Elin","person",
200,"Vibe, Anne-Mette","person",
201,"Haugen, Ola","person",
202,"Vinje, Finn-Erik","person",
203,"Jor, Finn","person",
204,"Egeland, Marianne","person",
205,"Tveite, Tonje","person",
661,"Bonde, Hans","person",
207,"Osterud, Svein","person",
208,"Gunnarsson, Britt-Louise","person",
209,"Engelstad, Fredrik","person",
210,"Kjeldsen, Jens","person",
211,"Blandhol, Sverre","person",
212,"Johannesson, Kurt","person",
213,"Walton, Stephen","person",
214,"Josephson, Olle","person",
215,"Gammelgaard, Karen","person",
216,"Bortnes, Jostein","person",
217,"Hoystad, Ole","person",
218,"Hegge, Per Egil","person",
219,"Meyer, Siri","person",
220,"Trippestad, Tom Are","person",
221,"Bordahl, Amund","person",
222,"Loga, Jill Merethe","person",
223,"Flatseth, Merethe","person",
224,"Hasund, Ingrid Kristine","person",
225,"Hornmoen, Harald","person",
226,"Rastier, Francois","person",
227,"Flottum, Kjersti","person",
228,"Flyum, Karl Henrik","person",
229,"Utaker, Arild","person",
230,"Dahl, Trine","person",
231,"Michaelsen, Eva","person",
232,"Falck-Ytter, Cecilie","person",
233,"Paasche-Aasen, Junn","person",
234,"Turmo, Are","person",
235,"Herbjornsen, Olga","person",
236,"Berg, Tove","person",
237,"Saebo, Aud Berggraf","person",
238,"Takle, Tone","person",
239,"Solheim, Randi","person",
240,"Torvatn, Anne Charlotte","person",
241,"Hagemann, Sonja","person",
242,"Klausen, Arne Martin","person",
243,"Tveteras, Harald L.","person",
244,"Nordahl, Helge","person",
245,"Guttu, Tor","person",
246,"Heggelund, Kjell","person",
247,"Vold, Helge","person",
248,"Skjonsberg, Simen","person",
249,"Bull-Hansen, Haakon","person",
250,"Ericsson, Kjersti","person",
251,"Pollan, Brita","person",
669,"Lund, Erik","person",
253,"Orseth, Dag","person",
254,"Severud, Jon","person",
255,"Saelensminde, Svein","person",
256,"Time, Sveinung","person",
257,"Norsk faglitteraer forfatter- og oversetterforening","institution",
258,"Kjetland, Turid","person",
259,"Aaslestad, Petter","person",
260,"Lie, Sissel","person",
261,"Henriksen, Turid","person",
262,"Askeland, Norunn","person",
263,"Hertzberg, Froydis","person",
264,"Solberg, Per","person",
265,"Sivertsen, Gunnar","person",
266,"Wandrup, Fredrik","person",
267,"Kjeldstadli, Knut","person",
268,"Hydle, Ida","person",
269,"Thorkildsen, Asmund","person",
270,"Tonnesson, Stein","person",
271,"Figueiredo, Ivo de","person",
272,"Ledin, Per","person",
273,"Okland, Siri","person",
274,"Simonsen, Dag F.","person",
275,"Hauge, Ingvar","person",
904,"Kamsvag, Ratna Elisabet","person",
277,"Beyer, Edvard","person",
278,"Berulfsen, Bjarne","person",
279,"Hald, Soren","person",
280,"Austena, Torgeir","person",
281,"Lid, Olav","person",
282,"Holth, Gunnar","person",
283,"Hvenekilde, Anne","person",
284,"Horsfjord, Vidar","person",
285,"Hoeg, Ove Arbo","person",
286,"Jakobsen, Alfred","person",
287,"Billeskov Jansen, F. J.","person",
288,"Jaeger, Henrik","person",
289,"Anderssen, Otto","person",
290,"Kittang, Atle","person",
291,"Lie, Ulf","person",
292,"Kjorup, Soren","person",
293,"Kondrup, Johnny","person",
294,"Lunden, Kare","person",
295,"Laerum, Ole Didrik","person",
296,"Munthe, Wilhelm","person",
297,"Ness, Einar","person",
298,"Nielsen, Erling","person",
299,"Noreng, Oystein","person",
300,"Nowak, Lilian","person",
301,"Naess, Harald S.","person",
302,"Haukaas, Kaare","person",
303,"Ronning, Helge","person",
304,"Rorvik, Harald","person",
305,"Rostvig, Maren-Sofie","person",
306,"Schmidt, Povl","person",
307,"Seip, Jens Arup","person",
308,"Sigmund, Einar","person",
309,"Skard, Ase Gruda","person",
310,"Skei, Hans H.","person",
311,"Storelv, Sven","person",
312,"Garborg, Arne","person",
313,"Mikaelsson, Lisbeth","person",
314,"Troye, Sigurd Villads","person",
315,"Gronhaug, Kjell","person",
316,"Bugge, Anders","person",
317,"Steen, Sverre","person",
319,"Urke, Torbjorn","person",
320,"Vinje, Eiliv","person",
321,"Wasberg, Gunnar Christie","person",
322,"Kinn, Torodd","person",
323,"Bentsen, Margareth Bredal","person",
324,"Mosling, Atle","person",
325,"Rognsaa, Aage","person",
326,"Fabricius-Hansen, Cathrine","person",
327,"Solfjeld, Kare","person",
328,"Grieg, Harald","person",
329,"Spangen, Inger Cathrine","person",
330,"Langballe, Anne M. Hasund","person",
331,"Tinderholt, Elin Brandsaeter","person",
332,"Coward, Gorgus","person",
333,"Raastad, Frederik","person",
334,"Gervin, Anita Eger","person",
335,"Kvifte, Turid","person",
336,"Buvik, Per","person",
337,"Mork, Geir","person",
338,"Fugelli, Per","person",
339,"Lovold, Hans Petter","person",
340,"Moster, Magne Eide","person",
341,"Nilsson, Goran B.","person",
342,"Nordby, Trond","person",
343,"Gaarder, Birgit","person",
344,"Glomnes, Eli","person",
345,"Ahlgren, Bengt","person",
346,"Brenna, Asta","person",
347,"Hafstad, Gunnar A.","person",
348,"Roksvold, Thore","person",
349,"Hansen, Toril","person",
350,"Mathiesen, Thomas","person",
351,"Gulliksen, Geir","person",
352,"Widerberg, Karin","person",
353,"Rudeng, Erik","person",
354,"Hognestad, Helge","person",
355,"Soderberg, Barbro","person",
356,"Dahl, Ottar","person",
357,"Vannebo, Kjell Ivar","person",
358,"Bull, Francis","person",
359,"Davidsen, Oyvin","person",
360,"Fiskaa, Haakon M.","person",
361,"Giverholt, Helge","person",
362,"Hoystad, Ole Martin","person",
363,"Ostgaard, Einar","person",
364,"Kabell, Inge","person",
365,"Langholm, Odd Inge","person",
366,"Kulset, Stig","person",
367,"Linneberg, Arild","person",
368,"Olaisen, Johan","person",
369,"Lonning, Per","person",
370,"Mamen, Hans Christen","person",
371,"Maurseth, Per","person",
372,"Koht, Halvdan","person",
373,"Olsen, Lars-Henrik","person",
374,"Munthe, Gerhard","person",
375,"Gulling, Solveig","person",
376,"Mikkelsen, Sissel","person",
377,"Nyrnes, Aslaug","person",
378,"Ramsvik, Erling","person",
379,"Ryall, Anka","person",
380,"Sivertsen, Erling","person",
381,"Skottene, Harald","person",
382,"Skouen, Arne","person",
383,"Stenklev, Niels Christian","person",
384,"Ulltveit, Gudrun","person",
385,"Tamnes, Rolf","person",
386,"Telhaug, Alfred Oftedal","person",
387,"Tonnessen, Rolf Th.","person",
388,"Tenfjord, Jo","person",
389,"Myre, Olav","person",
390,"Tollefsen, Torstein","person",
391,"Engelstad, Irene","person",
392,"Tveito, Finn","person",
393,"Tvinnereim, Audun","person",
394,"Ulstein, Jan Ove","person",
395,"Weisser, Heidi","person",
396,"Wiese, Jan","person",
397,"Vold, Ragnar","person",
398,"Osterberg, Dag","person",
399,"Christophersen, H. O.","person",
401,"Borgersen, Terje","person",
402,"Lervik, Helge","person",
403,"Hoftun, Sigmund","person",
404,"Stenseth, Nils Chr.","person",
405,"Aalen, Reidunn Birgitta","person",
