"publication_id","creator_id","posisjon","role"
252,114,1,["forfatter"]
253,115,1,["forfatter"]
254,116,1,["forfatter"]
255,117,1,["forfatter"]
256,67,1,["forfatter"]
257,3,1,["forfatter"]
258,12,1,["forfatter"]
259,118,1,["forfatter"]
260,118,1,["forfatter"]
261,119,1,["forfatter"]
262,120,1,["forfatter"]
263,121,1,["forfatter"]
264,122,1,["forfatter"]
265,123,1,["forfatter"]
266,123,1,["forfatter"]
267,124,1,["forfatter"]
268,125,1,["forfatter"]
269,125,1,["forfatter"]
1101,147,1,["forfatter"]
271,3,2,["redaktør"]
272,127,1,["forfatter"]
273,128,1,["forfatter"]
274,128,1,["forfatter"]
275,128,1,["forfatter"]
276,129,1,["forfatter"]
277,130,1,["forfatter"]
278,1,1,["forfatter"]
279,3,2,["redaktør"]
280,1,1,["forfatter"]
281,131,1,["forfatter"]
282,132,1,["forfatter"]
283,133,1,["forfatter"]
284,134,1,["forfatter"]
285,134,1,["forfatter"]
286,134,1,["forfatter"]
287,134,1,["forfatter"]
288,27,1,["forfatter"]
289,135,1,["forfatter"]
290,135,1,["forfatter"]
291,136,1,["forfatter"]
292,137,1,["forfatter"]
293,138,1,["forfatter"]
294,139,1,["forfatter"]
295,139,1,["forfatter"]
296,140,1,["forfatter"]
297,141,1,["forfatter"]
298,142,1,["forfatter"]
299,143,1,["forfatter"]
300,144,1,["forfatter"]
301,145,1,["forfatter"]
302,146,1,["forfatter"]
303,147,1,["forfatter"]
304,148,1,["forfatter"]
305,149,1,["forfatter"]
306,150,1,["forfatter"]
307,151,1,["forfatter"]
308,8,1,["forfatter"]
991,586,1,["forfatter"]
310,3,2,["redaktør"]
311,153,1,["forfatter"]
312,154,1,["forfatter"]
313,154,1,["forfatter"]
314,3,2,["redaktør"]
315,154,1,["forfatter"]
316,155,1,["forfatter"]
317,155,1,["forfatter"]
318,156,1,["forfatter"]
319,156,1,["forfatter"]
320,156,1,["forfatter"]
321,156,1,["forfatter"]
322,157,1,["forfatter"]
323,3,2,["redaktør"]
324,159,1,["forfatter"]
325,160,1,["forfatter"]
326,161,1,["forfatter"]
327,162,1,["forfatter"]
328,162,1,["forfatter"]
329,3,2,["redaktør"]
330,163,1,["forfatter"]
331,164,1,["forfatter"]
332,3,2,["redaktør"]
416,54,1,["forfatter"]
417,218,1,["forfatter"]
418,220,3,["redaktør"]
418,219,2,["redaktør"]
418,5,1,["redaktør"]
419,219,1,["forfatter"]
420,5,1,["forfatter"]
421,221,1,["forfatter"]
422,222,1,["forfatter"]
423,223,1,["forfatter"]
424,224,1,["forfatter"]
425,210,1,["forfatter"]
426,29,1,["forfatter"]
427,225,1,["forfatter"]
428,53,1,["forfatter"]
429,28,1,["forfatter"]
430,226,1,["redaktør"]
430,227,2,["redaktør"]
431,227,2,["redaktør"]
432,28,1,["forfatter"]
433,2,1,["forfatter"]
282,142,2,["forfatter"]
435,229,1,["forfatter"]
436,227,1,["forfatter"]
437,230,1,["forfatter"]
439,1,1,["redaktør"]
440,1,1,["forfatter"]
441,1,1,["forfatter"]
442,231,1,["forfatter"]
443,231,1,["forfatter"]
444,232,1,["forfatter"]
445,233,1,["forfatter"]
446,234,1,["forfatter"]
447,235,1,["forfatter"]
448,231,1,["forfatter"]
449,236,1,["forfatter"]
450,237,1,["forfatter"]
451,238,1,["forfatter"]
452,1,1,["forfatter"]
453,239,3,["forfatter"]
453,240,2,["forfatter"]
453,5,1,["forfatter"]
1001,358,1,["forfatter"]
456,241,1,["forfatter"]
457,242,2,["redaktør"]
457,64,1,["redaktør"]
458,243,1,["forfatter"]
459,64,1,["redaktør"]
460,245,2,["redaktør"]
460,244,1,["redaktør"]
461,24,1,["forfatter"]
462,248,3,["redaktør"]
462,247,2,["redaktør"]
462,246,1,["redaktør"]
463,249,1,["forfatter"]
464,250,1,["forfatter"]
465,251,1,["forfatter"]
466,24,1,["forfatter"]
467,24,1,["forfatter"]
468,58,1,["forfatter"]
469,253,1,["forfatter"]
470,254,1,["forfatter"]
471,254,1,["forfatter"]
472,255,1,["forfatter"]
473,256,1,["forfatter"]
474,257,1,["redaktør"]
475,257,1,["redaktør"]
476,258,1,["forfatter"]
477,1,1,["redaktør"]
478,1,1,["redaktør"]
479,119,1,["forfatter"]
480,260,1,["forfatter"]
481,1,1,["redaktør"]
482,24,1,["forfatter"]
483,1,1,["forfatter"]
484,261,1,["forfatter"]
485,262,1,["forfatter"]
486,263,1,["forfatter"]
487,67,1,["forfatter"]
488,141,1,["forfatter"]
489,204,1,["forfatter"]
490,264,1,["forfatter"]
491,1,1,["redaktør"]
492,265,1,["forfatter"]
493,156,1,["forfatter"]
494,266,1,["forfatter"]
495,1,1,["redaktør"]
496,267,1,["forfatter"]
497,268,1,["forfatter"]
498,269,1,["forfatter"]
499,228,1,["forfatter"]
500,1,1,["forfatter"]
501,232,1,["forfatter"]
502,240,1,["forfatter"]
503,270,1,["forfatter"]
504,271,1,["forfatter"]
505,3,1,["forfatter"]
507,272,1,["forfatter"]
508,24,1,["forfatter"]
911,59,1,["forfatter"]
510,152,1,["forfatter"]
511,89,1,["forfatter"]
512,273,1,["forfatter"]
513,236,1,["forfatter"]
514,21,1,["forfatter"]
433,228,2,["forfatter"]
516,274,1,["forfatter"]
517,1,1,["forfatter"]
518,1,1,["redaktør"]
520,275,1,["forfatter"]
479,1,1,["redaktør"]
917,246,1,["redaktør"]
477,3,1,["forfatter"]
522,103,1,["forfatter"]
523,277,1,["redaktør"]
524,278,1,["forfatter"]
525,279,1,["forfatter"]
526,123,1,["forfatter"]
527,280,1,["redaktør"]
527,281,2,["redaktør"]
528,282,1,["forfatter"]
529,192,1,["forfatter"]
530,283,1,["forfatter"]
531,284,1,["redaktør"]
532,284,1,["redaktør"]
534,285,1,["forfatter"]
535,108,1,["forfatter"]
536,286,1,["forfatter"]
539,287,1,["forfatter"]
540,103,1,["forfatter"]
541,103,1,["forfatter"]
542,288,1,["forfatter"]
542,289,2,["forfatter"]
543,291,2,["redaktør"]
543,290,1,["redaktør"]
544,290,1,["forfatter"]
545,292,1,["forfatter"]
546,293,1,["forfatter"]
547,58,1,["forfatter"]
548,260,1,["forfatter"]
549,260,1,["forfatter"]
550,294,1,["forfatter"]
551,295,1,["forfatter"]
552,295,1,["forfatter"]
553,296,1,["forfatter"]
554,297,1,["forfatter"]
555,298,1,["redaktør"]
556,299,1,["forfatter"]
557,299,1,["forfatter"]
558,300,1,["forfatter"]
559,302,2,["forfatter"]
559,301,1,["forfatter"]
560,303,1,["forfatter"]
561,304,1,["forfatter"]
562,305,1,["forfatter"]
563,306,1,["forfatter"]
564,307,1,["forfatter"]
565,307,1,["forfatter"]
566,16,1,["forfatter"]
567,308,1,["forfatter"]
568,265,1,["forfatter"]
569,309,1,["forfatter"]
570,309,1,["forfatter"]
571,310,1,["forfatter"]
572,41,1,["forfatter"]
573,41,1,["forfatter"]
574,41,1,["forfatter"]
575,9,1,["forfatter"]
576,153,1,["forfatter"]
577,311,1,["forfatter"]
579,312,1,["forfatter"]
580,256,1,["forfatter"]
581,168,1,["redaktør"]
581,313,2,["redaktør"]
582,256,1,["forfatter"]
583,315,2,["forfatter"]
583,314,1,["forfatter"]
584,316,1,["redaktør"]
584,317,2,["redaktør"]
585,243,1,["forfatter"]
586,243,1,["forfatter"]
587,243,1,["forfatter"]
589,319,1,["forfatter"]
590,320,1,["forfatter"]
591,321,1,["forfatter"]
592,163,1,["forfatter"]
594,227,1,["forfatter"]
595,228,1,["forfatter"]
596,230,1,["forfatter"]
597,322,1,["forfatter"]
598,28,1,["forfatter"]
600,1,1,["forfatter"]
601,323,1,["forfatter"]
602,21,2,["forfatter"]
602,19,1,["forfatter"]
603,324,1,["forfatter"]
604,103,1,["forfatter"]
605,325,1,["forfatter"]
606,232,1,["forfatter"]
607,27,1,["forfatter"]
608,103,1,["forfatter"]
609,327,2,["forfatter"]
609,326,1,["forfatter"]
610,328,1,["forfatter"]
611,329,1,["forfatter"]
612,331,1,["forfatter"]
613,332,1,["redaktør"]
613,333,2,["redaktør"]
613,334,3,["redaktør"]
613,335,4,["redaktør"]
614,158,1,["forfatter"]
615,337,2,["forfatter"]
615,336,1,["forfatter"]
616,338,1,["forfatter"]
617,64,1,["forfatter"]
618,340,2,["forfatter"]
618,339,1,["forfatter"]
619,186,1,["forfatter"]
620,15,1,["forfatter"]
621,341,1,["forfatter"]
622,342,1,["forfatter"]
623,343,1,["forfatter"]
624,344,1,["forfatter"]
625,24,1,["forfatter"]
